"","id","player_name","games","time","goals","x_g","assists","x_a","shots","key_passes","yellow_cards","red_cards","position","team_title","npg","npx_g","x_g_chain","x_g_buildup","liga","season","goals_p90","x_g_p90","assists_p90","x_a_p90","shots_p90","key_passes_p90","npg_p90","npx_g_p90","x_g_chain_p90","x_g_buildup_p90","color_liga"
"13",8015,"Rodrygo",19,1430,7,8.89088413864374,4,2.48127695918083,60,30,1,0,"F S","Real Madrid",7,8.14760649949312,14.0654652491212,5.95535477623343,"España","23-24",0.440559440559441,0.559566134599956,0.251748251748252,0.156164284144248,3.77622377622378,1.88811188811189,0.440559440559441,0.512786423045022,0.885239071623013,0.374812538364342,"red"
"14",11070,"Jørgen Strand Larsen",19,1549,7,8.47120359167457,0,0.781512342393398,47,11,1,0,"F M","Celta Vigo",7,8.47120359167457,9.28134210780263,1.46288214810193,"España","23-24",0.406714009038089,0.492193882021118,0,0.0454074311267952,2.73079406068431,0.639122014202711,0.406714009038089,0.492193882021118,0.539264551131205,0.0849963804578268,"red"
"15",1709,"Cristhian Stuani",18,545,6,7.36452570557594,2,1.74452294409275,26,8,5,0,"F S","Girona",6,7.36452570557594,8.26116082072258,0.315147440880537,"España","23-24",0.990825688073395,1.21616020826025,0.330275229357798,0.288086357740087,4.29357798165138,1.32110091743119,0.990825688073395,1.21616020826025,1.3642283924129,0.0520426966591712,"red"
"16",2361,"Willian José",16,946,6,4.38223832473159,1,0.946163157001138,23,12,0,1,"F S","Real Betis",6,4.38223832473159,6.34698373824358,1.31428919360042,"España","23-24",0.570824524312896,0.416914851190109,0.0951374207188161,0.0900155223362605,2.18816067653277,1.14164904862579,0.570824524312896,0.416914851190109,0.603835662200763,0.125038083957757,"red"
"17",6531,"Alexander Sørloth",16,1127,6,5.70507146418095,2,1.48483698628843,28,12,1,0,"F S","Villarreal",6,5.70507146418095,7.03932958468795,0.410941995680332,"España","23-24",0.479148181011535,0.455595769100519,0.159716060337178,0.118576156846458,2.2360248447205,0.95829636202307,0.479148181011535,0.455595769100519,0.562146994340653,0.0328170182885802,"red"
"18",8001,"Takefusa Kubo",18,1437,6,3.71410754323006,3,4.19069916009903,32,35,1,0,"F M S","Real Sociedad",6,3.71410754323006,8.35326976329088,1.94375822506845,"España","23-24",0.375782881002088,0.23261633882443,0.187891440501044,0.262465500632507,2.00417536534447,2.19206680584551,0.375782881002088,0.23261633882443,0.523169296239512,0.121738510964621,"red"
"19",10143,"Bryan Zaragoza",18,1391,6,3.34887867048383,2,3.1849160566926,28,19,5,0,"F M S","Granada",5,2.6056010555476,7.63783319108188,2.43806042522192,"España","23-24",0.388209920920201,0.216677987306646,0.1294033069734,0.206069335084352,1.81164629762761,1.2293314162473,0.323508267433501,0.168586696620621,0.494180436518597,0.157746540812346,"red"
"20",10400,"Myrto Uzuni",19,1414,6,7.0328993909061,0,2.15978462249041,38,11,1,0,"F M S","Granada",4,5.54634417593479,6.34987486898899,1.4862960241735,"España","23-24",0.381895332390382,0.447638575093033,0,0.137468611049602,2.41867043847242,0.7001414427157,0.254596888260255,0.353020492103346,0.404164595621647,0.0946015856970403,"red"
"21",866,"Joselu",19,853,5,6.85742840357125,2,1.6664728783071,34,9,0,0,"F S","Real Madrid",5,6.11415079422295,8.6171303242445,2.6441340893507,"España","23-24",0.527549824150059,0.723527029685126,0.211019929660023,0.175829494780351,3.5873388042204,0.949589683470106,0.527549824150059,0.645103835263852,0.909193117446665,0.278982494773227,"red"
"22",2186,"Morales",14,713,5,4.48664317838848,0,0.54002508148551,14,4,0,0,"F M S","Villarreal",5,4.48664317838848,5.67952819541097,1.06432386953384,"España","23-24",0.631136044880785,0.566336446079892,0,0.0681658588130377,1.7671809256662,0.504908835904628,0.631136044880785,0.566336446079892,0.716910992408117,0.13434663149796,"red"
"23",5169,"Youssef En-Nesyri",17,1186,5,4.95091586373746,1,0.17240315489471,36,5,2,0,"F S","Sevilla",5,4.95091586373746,4.47059657983482,0.921050885692239,"España","23-24",0.379426644182125,0.37570187836119,0.075885328836425,0.0130828701016222,2.7318718381113,0.379426644182125,0.379426644182125,0.37570187836119,0.339252691555762,0.069894249335836,"red"
"24",6920,"Chris Ramos",19,1470,5,4.81807511672378,1,0.940096082165837,37,8,2,0,"F M S","Cadiz",5,4.81807511672378,4.92086623795331,0.765218544751406,"España","23-24",0.306122448979592,0.294984190819823,0.0612244897959184,0.0575569029897451,2.26530612244898,0.489795918367347,0.306122448979592,0.294984190819823,0.301277524772652,0.04685011498478,"red"
