"","id","player_name","games","time","goals","x_g","assists","x_a","shots","key_passes","yellow_cards","red_cards","position","team_title","npg","npx_g","x_g_chain","x_g_buildup","liga","season","goals_p90","x_g_p90","assists_p90","x_a_p90","shots_p90","key_passes_p90","npg_p90","npx_g_p90","x_g_chain_p90","x_g_buildup_p90"
"1415",8323,"Josh Brownhill",15,1138,3,0.683799305930734,0,0.571220755577087,15,12,2,0,"M S","Burnley",3,0.683799305930734,2.35086826980114,1.74376026727259,"Inglaterra","23-24",0.23725834797891,0.0540790312247505,0,0.0451756309331615,1.18629173989455,0.949033391915642,0.23725834797891,0.0540790312247505,0.185921040669686,0.137907226761453
"1416",9524,"Anthony Elanga",16,995,3,1.96522474102676,3,2.33303552865982,25,10,1,0,"F M S","Nottingham Forest",3,1.96522474102676,5.62388747557998,1.9976659193635,"Inglaterra","23-24",0.271356783919598,0.177759021801415,0.271356783919598,0.211028339275763,2.26130653266332,0.904522613065327,0.271356783919598,0.177759021801415,0.508693339499697,0.180693399741422
"1417",10408,"Luis Díaz",15,949,3,3.17670322395861,0,1.29859752207994,28,13,1,0,"F S","Liverpool",3,3.17670322395861,5.88176000490785,3.13730287924409,"Inglaterra","23-24",0.284510010537408,0.301267955907561,0,0.123154664896938,2.65542676501581,1.23287671232877,0.284510010537408,0.301267955907561,0.557806533658279,0.297531358410925
"1418",10806,"Kaoru Mitoma",15,1133,3,4.06892855837941,4,2.45846113190055,29,22,3,0,"D F M S","Brighton",3,4.06892855837941,11.5706048905849,6.75270854309201,"Inglaterra","23-24",0.238305383936452,0.323215860771533,0.317740511915269,0.195288174643468,2.3036187113857,1.74757281553398,0.238305383936452,0.323215860771533,0.919112480275941,0.536402267324167
"1419",11363,"Antoine Semenyo",13,711,3,1.75002777203918,1,1.53383742086589,25,9,2,0,"M S","Bournemouth",3,1.75002777203918,4.73331055045128,1.51964394748211,"Inglaterra","23-24",0.379746835443038,0.22152250278977,0.126582278481013,0.194156635552644,3.16455696202532,1.13924050632911,0.379746835443038,0.22152250278977,0.599153234234339,0.192359993352166
"1420",11717,"Carlton Morris",16,1206,3,4.11282343044877,2,0.938425885513425,31,9,1,0,"F S","Luton",1,2.59048569574952,4.91833533346653,2.81916362792253,"Inglaterra","23-24",0.223880597014925,0.306927121675281,0.149253731343284,0.0700317825010019,2.3134328358209,0.671641791044776,0.0746268656716418,0.193319828041009,0.367039950258696,0.210385345367353
"1421",12027,"Mohammed Kudus",13,690,3,1.17469101957977,1,1.25282078236341,15,10,2,0,"F M S","West Ham",3,1.17469101957977,3.70892231538892,1.98408223688602,"Inglaterra","23-24",0.391304347826087,0.153220567771274,0.130434782608696,0.163411406395227,1.95652173913043,1.30434782608696,0.391304347826087,0.153220567771274,0.483772475920294,0.258793335246003
"1422",87,"Joelinton",13,1016,2,2.05506361275911,1,1.92604317516088,15,18,4,0,"F M S","Newcastle United",2,2.05506361275911,6.93607392720878,3.98359025456011,"Inglaterra","23-24",0.177165354330709,0.182043036563307,0.0885826771653543,0.17061406079181,1.32874015748032,1.59448818897638,0.177165354330709,0.182043036563307,0.614415997488967,0.35287708947875
"1423",531,"Michail Antonio",12,859,2,1.91638543270528,2,0.952766828238964,9,6,2,0,"F S","West Ham",2,1.91638543270528,5.27037270925939,2.4012204669416,"Inglaterra","23-24",0.209545983701979,0.200785435324185,0.209545983701979,0.0998242311309741,0.942956926658906,0.628637951105937,0.209545983701979,0.200785435324185,0.552192716918912,0.251583052415302
"1424",556,"Marcus Rashford",15,1113,2,5.07047329097986,1,1.56246297433972,37,14,1,0,"F M S","Manchester United",1,4.30930445343256,7.99239000678062,2.73059943690896,"Inglaterra","23-24",0.161725067385445,0.410011317329908,0.0808625336927224,0.126344714906177,2.99191374663073,1.13207547169811,0.0808625336927224,0.348461276557889,0.646284906208676,0.220803188968379
"1425",579,"Nathan Aké",12,738,2,0.970071144402027,1,1.44841002672911,8,5,0,0,"D S","Manchester City",2,0.970071144402027,4.76043847948313,3.76321978121996,"Inglaterra","23-24",0.24390243902439,0.118301359073418,0.121951219512195,0.176635369113306,0.975609756097561,0.609756097560976,0.24390243902439,0.118301359073418,0.580541277985748,0.45892924161219
"1426",675,"Jack Grealish",9,439,2,1.61973436176777,1,2.02733667939901,14,11,4,0,"M S","Manchester City",2,1.61973436176777,6.34546548128128,3.41568003688008,"Inglaterra","23-24",0.41002277904328,0.332063992161957,0.20501138952164,0.415627109671779,2.87015945330296,2.25512528473804,0.41002277904328,0.332063992161957,1.30089269547908,0.700253310522112
"1427",844,"Jay Rodriguez",11,619,2,3.68331774324179,1,0.147509101778269,16,3,0,0,"F S","Burnley",1,2.92214890569448,3.4399722404778,0.49603074323386,"Inglaterra","23-24",0.290791599353796,0.535538928742748,0.145395799676898,0.0214472038126724,2.32633279483037,0.436187399030695,0.145395799676898,0.424868176918422,0.500157514770601,0.0721207865768132
"1428",1299,"Mario Lemina",14,1227,2,2.46223329473287,0,0.235352318733931,20,4,6,1,"M","Wolverhampton Wanderers",2,2.46223329473287,3.64860252290964,2.63413569331169,"Inglaterra","23-24",0.146699266503667,0.18060390914911,0,0.0172630062641025,1.46699266503667,0.293398533007335,0.146699266503667,0.18060390914911,0.267623656937137,0.193212887039977
"1429",1736,"Oliver McBurnie",8,517,2,2.74148626253009,1,0.904961515218019,15,5,1,2,"F S","Sheffield United",1,1.98031736537814,2.20964933466166,0.838856658898294,"Inglaterra","23-24",0.34816247582205,0.477241322297308,0.174081237911025,0.15753682083099,2.61121856866538,0.870406189555126,0.174081237911025,0.344736098421726,0.384658491527175,0.146029205610922
"1430",1791,"Trent Alexander-Arnold",14,1148,2,0.687722753733397,2,4.73498759418726,20,34,3,0,"D S","Liverpool",2,0.687722753733397,7.33174084126949,5.73251301050186,"Inglaterra","23-24",0.156794425087108,0.0539155468954754,0.156794425087108,0.37120982881259,1.56794425087108,2.66550522648084,0.156794425087108,0.0539155468954754,0.57478804504726,0.449413040893003
"1431",3621,"Neal Maupay",13,635,2,4.96390852704644,2,1.14136330876499,26,9,2,0,"F S","Brentford,Everton",2,4.96390852704644,6.98300959542394,1.44201954454184,"Inglaterra","23-24",0.283464566929134,0.703546090447527,0.283464566929134,0.161768028013936,3.68503937007874,1.2755905511811,0.283464566929134,0.703546090447527,0.989717895414417,0.20438072284845
"1432",5355,"Jacob Bruun Larsen",13,295,2,0.908046638593078,0,0.374085962772369,12,8,0,0,"M S","Burnley",2,0.908046638593078,1.32427166681737,0.4183728992939,"Inglaterra","23-24",0.610169491525424,0.277031177875854,0,0.114127920845808,3.66101694915254,2.44067796610169,0.610169491525424,0.277031177875854,0.40401508479174,0.127639189615088
"1433",5543,"Gabriel Jesus",11,680,2,3.59850298240781,1,1.10375272110105,20,10,3,0,"F S","Arsenal",2,3.59850298240781,7.33000146597624,2.8093817718327,"Inglaterra","23-24",0.264705882352941,0.476272453553975,0.132352941176471,0.146084918969257,2.64705882352941,1.32352941176471,0.264705882352941,0.476272453553975,0.970147252849797,0.371829940389622
"1434",5596,"Harry Wilson",16,819,2,1.23168612457812,3,1.88828918710351,18,10,2,0,"F M S","Fulham",2,1.23168612457812,3.83776973932981,2.28434874676168,"Inglaterra","23-24",0.21978021978022,0.135350123580013,0.32967032967033,0.207504306275111,1.97802197802198,1.0989010989011,0.21978021978022,0.135350123580013,0.421732938387891,0.251027334808976
"1435",5681,"Giovani Lo Celso",7,281,2,0.367881014943123,0,0.390247259289026,8,7,0,0,"M S","Tottenham",2,0.367881014943123,1.39923117682338,0.891892153769732,"Inglaterra","23-24",0.640569395017794,0.117826659590324,0,0.124990225395062,2.56227758007117,2.24199288256228,0.640569395017794,0.117826659590324,0.448152334213894,0.285659408680697
