"","id","player_name","games","time","goals","x_g","assists","x_a","shots","key_passes","yellow_cards","red_cards","position","team_title","npg","npx_g","x_g_chain","x_g_buildup","liga","season","goals_p90","x_g_p90","assists_p90","x_a_p90","shots_p90","key_passes_p90","npg_p90","npx_g_p90","x_g_chain_p90","x_g_buildup_p90","color_liga"
"741",5288,"Gregor Kobel",15,1285,0,0,0,0,0,0,1,0,"GK","Borussia Dortmund",0,0,2.50530324876308,2.50530324876308,"Alemania","23-24",0,0,0,0,0,0,0,0,0.175468710030099,0.175468710030099,"orange"
"742",5294,"Salih Özcan",9,537,0,0.0866983626037836,0,0.681165272369981,3,6,2,0,"M S","Borussia Dortmund",0,0.0866983626037836,2.66299825161695,2.03007512539625,"Alemania","23-24",0,0.0145304518330364,0,0.114161777492176,0.502793296089385,1.00558659217877,0,0.0145304518330364,0.446312556136919,0.340236054535684,"orange"
"743",5298,"Arne Maier",3,45,0,0,0,0,0,0,0,0,"S","Augsburg",0,0,0.0676451921463013,0.0676451921463013,"Alemania","23-24",0,0,0,0,0,0,0,0,0.135290384292603,0.135290384292603,"orange"
"744",5306,"Aaron Seydel",6,254,0,0.703547529876232,0,0.153919648379087,4,3,1,0,"F S","Darmstadt",0,0.703547529876232,1.09318839013577,0.469964660704136,"Alemania","23-24",0,0.249288494838035,0,0.0545384580870781,1.41732283464567,1.06299212598425,0,0.249288494838035,0.387350216977241,0.166522911273119,"orange"
"745",5340,"Marco Friedl",11,947,0,0.0351895224303007,0,0,2,0,3,0,"D","Werder Bremen",0,0.0351895224303007,1.16267371550202,1.12748419120908,"Alemania","23-24",0,0.00334430519400957,0,0,0.190073917634636,0,0,0.00334430519400957,0.110496974018143,0.107152668647114,"orange"
"746",5347,"Jonas Föhrenbach",14,1176,0,0.149007054045796,0,0.392764454707503,4,9,0,0,"D S","FC Heidenheim",0,0.149007054045796,1.45284970384091,1.19953574147075,"Alemania","23-24",0,0.0114036010749334,0,0.0300585041867987,0.306122448979592,0.688775510204082,0,0.0114036010749334,0.111187477334764,0.0918012047043941,"orange"
"747",5612,"Anwar El Ghazi",3,44,0,0.0538081862032413,1,0.626950323581696,1,2,0,0,"S","Mainz 05",0,0.0538081862032413,0.748223904520273,0.0674653947353363,"Alemania","23-24",0,0.110062199052084,2.04545454545455,1.28239838914438,2.04545454545455,4.09090909090909,0,0.110062199052084,1.53045798651874,0.137997398322279,"orange"
"748",5680,"Thomas Meunier",3,181,0,0.17790300771594,0,0.0263700895011425,3,1,0,0,"D S","Borussia Dortmund",0,0.17790300771594,0.642155811190605,0.551807597279549,"Alemania","23-24",0,0.088460059085274,0,0.0131121991994631,1.49171270718232,0.497237569060773,0,0.088460059085274,0.319303994514665,0.274379468260549,"orange"
"749",5724,"Irvin Cardona",3,42,0,0.129949226975441,0,0,3,0,1,0,"S","Augsburg",0,0.129949226975441,0.0859093628823757,0.0676271021366119,"Alemania","23-24",0,0.278462629233088,0,0,6.42857142857143,0,0,0.278462629233088,0.184091491890805,0.144915218864168,"orange"
"750",6007,"Nicolas Cozza",5,211,0,0.0170388873666525,0,0.0865112952888012,1,2,1,0,"D S","Wolfsburg",0,0.0170388873666525,1.31244294345379,1.24526000767946,"Alemania","23-24",0,0.0072677718625532,0,0.0369005524928536,0.42654028436019,0.853080568720379,0,0.0072677718625532,0.559809786307304,0.531153557777969,"orange"
"751",6082,"Jiri Pavlenka",7,630,0,0,0,0,0,0,0,0,"GK","Werder Bremen",0,0,1.08964730799198,1.08964730799198,"Alemania","23-24",0,0,0,0,0,0,0,0,0.155663901141711,0.155663901141711,"orange"
"752",6109,"Konrad Laimer",14,914,0,0.412046148441732,2,2.19311697408557,7,12,2,0,"D M S","Bayern Munich",0,0.412046148441732,8.64581375941634,6.92097926512361,"Alemania","23-24",0,0.0405734719472165,0.196936542669584,0.215952437273196,0.689277899343545,1.18161925601751,0,0.0405734719472165,0.851338335172287,0.681496864180662,"orange"
"753",6144,"Sébastien Haller",10,328,0,0.528567980974913,0,0.339309144765139,6,4,2,0,"F S","Borussia Dortmund",0,0.528567980974913,1.49374152347445,0.923701759427786,"Alemania","23-24",0,0.145033897218726,0,0.0931031189904345,1.64634146341463,1.09756097560976,0,0.145033897218726,0.409868100953355,0.253454751062502,"orange"
"754",6190,"Dawid Kownacki",8,214,0,0.295316904783249,0,0.109458000399172,6,3,0,0,"F S","Werder Bremen",0,0.295316904783249,0.419202179647982,0.131468415260315,"Alemania","23-24",0,0.124198698273329,0,0.0460337384856331,2.52336448598131,1.26168224299065,0,0.124198698273329,0.176299982094946,0.0552904550160203,"orange"
"755",6273,"Robin Koch",13,1144,0,0.257784098386765,0,0.0304114669561386,1,1,4,0,"D","Eintracht Frankfurt",0,0.257784098386765,4.2565144225955,4.22610295563936,"Alemania","23-24",0,0.0202802175304273,0,0.00239251051228363,0.0786713286713287,0.0786713286713287,0,0.0202802175304273,0.334865645134261,0.332473134621978,"orange"
"756",6290,"Alexander Meyer",1,65,0,0,0,0,0,0,0,0,"S","Borussia Dortmund",0,0,0.0707719400525093,0.0707719400525093,"Alemania","23-24",0,0,0,0,0,0,0,0,0.0979919169957821,0.0979919169957821,"orange"
"757",6321,"Moritz Nicolas",13,1170,0,0,0,0,0,0,1,0,"GK","Borussia M.Gladbach",0,0,1.3813290912658,1.3813290912658,"Alemania","23-24",0,0,0,0,0,0,0,0,0.106256083943523,0.106256083943523,"orange"
"758",6327,"Kevin Akpoguma",10,561,0,0,0,0.124670144170523,0,2,5,0,"D S","Hoffenheim",0,0,1.19159065186977,1.06692050769925,"Alemania","23-24",0,0,0,0.0200005578883192,0,0.320855614973262,0,0,0.191164275701033,0.171163717812714,"orange"
